[2024-05-23T16:23:09.819+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-23T16:23:09.833+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: games.load_data manual__2024-05-23T16:18:14.241262+00:00 [queued]>
[2024-05-23T16:23:09.841+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: games.load_data manual__2024-05-23T16:18:14.241262+00:00 [queued]>
[2024-05-23T16:23:09.841+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2024-05-23T16:23:09.851+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): load_data> on 2024-05-23 16:18:14.241262+00:00
[2024-05-23T16:23:09.858+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=142) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-05-23T16:23:09.859+0000] {standard_task_runner.py:63} INFO - Started process 144 to run task
[2024-05-23T16:23:09.859+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'games', 'load_data', 'manual__2024-05-23T16:18:14.241262+00:00', '--job-id', '705', '--raw', '--subdir', 'DAGS_FOLDER/get_main_games.py', '--cfg-path', '/tmp/tmp6htosztw']
[2024-05-23T16:23:09.860+0000] {standard_task_runner.py:91} INFO - Job 705: Subtask load_data
[2024-05-23T16:23:09.891+0000] {task_command.py:426} INFO - Running <TaskInstance: games.load_data manual__2024-05-23T16:18:14.241262+00:00 [running]> on host 81053f0a1c9a
[2024-05-23T16:23:09.949+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='games' AIRFLOW_CTX_TASK_ID='load_data' AIRFLOW_CTX_EXECUTION_DATE='2024-05-23T16:18:14.241262+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-23T16:18:14.241262+00:00'
[2024-05-23T16:23:09.950+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-23T16:23:09.973+0000] {base.py:84} INFO - Using connection ID '***' for task execution.
[2024-05-23T16:23:09.975+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.975+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.975+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.975+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.975+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.975+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.975+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.976+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.976+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.976+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.976+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.976+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.976+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.976+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.976+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.976+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.976+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.976+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.977+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.977+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.977+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.977+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.977+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.977+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.977+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.977+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.977+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.977+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.977+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.977+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.978+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.978+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.978+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.978+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.978+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.978+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.978+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.978+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.978+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.978+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.978+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.979+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.979+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.979+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.979+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.979+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.979+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.979+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.979+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.979+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.979+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.979+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.980+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.980+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.980+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T16:23:09.980+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
