iter	Passed	Remaining
400	21218	31694
401	21271	31642
402	21323	31588
403	21374	31533
404	21426	31478
405	21479	31426
406	21531	31371
407	21584	31318
408	21639	31268
409	21691	31214
410	21743	31160
411	21796	31106
412	21848	31053
413	21903	31002
414	21954	30948
415	22006	30893
416	22057	30838
417	22110	30784
418	22160	30728
419	22212	30673
420	22262	30618
421	22314	30564
422	22366	30509
423	22416	30453
424	22468	30398
425	22520	30344
426	22572	30290
427	22623	30235
428	22680	30188
429	22733	30135
430	22784	30080
431	22835	30023
432	22886	29969
433	22937	29913
434	22989	29859
435	23040	29804
436	23090	29748
437	23140	29691
438	23192	29637
439	23242	29581
440	23293	29526
441	23345	29472
442	23398	29419
443	23449	29364
444	23500	29309
445	23552	29255
446	23604	29201
447	23655	29147
448	23707	29092
449	23761	29042
450	23813	28987
451	23863	28932
452	23916	28878
453	23969	28826
454	24022	28774
455	24075	28721
456	24126	28667
457	24178	28613
458	24239	28569
459	24294	28519
460	24348	28468
461	24399	28413
462	24451	28359
463	24504	28307
464	24557	28254
465	24608	28199
466	24659	28144
467	24712	28091
468	24763	28037
469	24818	27987
470	24869	27932
471	24920	27877
472	24972	27823
473	25023	27769
474	25074	27714
475	25126	27660
476	25178	27606
477	25232	27555
478	25285	27502
479	25336	27447
480	25388	27394
481	25440	27340
482	25490	27284
483	25543	27231
484	25594	27177
485	25645	27123
486	25697	27068
487	25748	27015
488	25800	26960
489	25854	26909
490	25907	26857
491	25958	26802
492	26009	26748
493	26062	26695
494	26113	26641
495	26166	26588
496	26218	26534
497	26269	26480
498	26320	26425
499	26372	26372
500	26425	26319
501	26476	26265
502	26527	26211
503	26578	26156
504	26630	26102
505	26680	26047
506	26732	25994
507	26782	25939
508	26834	25885
509	26886	25832
510	26941	25782
511	26992	25727
512	27043	25672
513	27095	25619
514	27146	25564
515	27197	25510
516	27248	25456
517	27299	25402
518	27350	25347
519	27401	25294
520	27452	25239
521	27503	25185
522	27555	25132
523	27606	25077
524	27657	25023
525	27708	24968
526	27759	24914
527	27810	24860
528	27861	24807
529	27911	24752
530	27962	24697
531	28017	24647
532	28070	24594
533	28120	24539
534	28171	24485
535	28222	24431
536	28276	24379
537	28327	24325
538	28379	24272
539	28429	24217
540	28480	24163
541	28530	24109
542	28582	24055
543	28633	24001
544	28684	23947
545	28734	23892
546	28785	23838
547	28837	23785
548	28889	23732
549	28941	23679
550	28991	23625
551	29047	23574
552	29101	23523
553	29152	23469
554	29203	23415
555	29255	23362
556	29306	23308
557	29357	23254
558	29408	23200
559	29459	23147
560	29511	23093
561	29562	23039
562	29613	22986
563	29665	22932
564	29716	22879
565	29768	22825
566	29825	22776
