iter	Passed	Remaining
448	1133	1391
449	1135	1387
450	1137	1384
451	1138	1380
452	1140	1376
453	1142	1374
454	1144	1370
455	1151	1373
456	1155	1372
457	1158	1370
458	1160	1367
459	1162	1364
460	1163	1360
461	1170	1362
462	1172	1359
463	1174	1356
464	1176	1353
465	1178	1350
466	1181	1348
467	1183	1344
468	1184	1341
469	1186	1338
470	1188	1334
471	1189	1331
472	1197	1333
473	1199	1331
474	1201	1328
475	1203	1324
476	1205	1321
477	1206	1317
478	1208	1314
479	1209	1310
480	1211	1307
481	1213	1303
482	1218	1304
483	1222	1303
484	1224	1300
485	1226	1296
486	1227	1293
487	1229	1290
488	1232	1288
489	1237	1287
490	1242	1287
491	1244	1285
492	1246	1281
493	1247	1277
494	1248	1274
495	1250	1271
496	1252	1267
497	1253	1263
498	1259	1264
499	1263	1263
500	1265	1260
501	1266	1256
502	1268	1253
503	1270	1250
504	1271	1246
505	1272	1242
506	1278	1243
507	1281	1241
508	1284	1239
509	1286	1235
510	1288	1232
511	1289	1229
512	1291	1226
513	1299	1228
514	1303	1227
515	1304	1223
516	1306	1220
517	1308	1217
518	1309	1213
519	1311	1210
520	1313	1207
521	1317	1206
522	1319	1203
523	1321	1200
524	1322	1196
525	1324	1193
526	1327	1191
527	1328	1187
528	1330	1184
529	1332	1181
530	1339	1182
531	1341	1179
532	1343	1177
533	1345	1174
534	1347	1171
535	1349	1167
536	1350	1164
537	1352	1161
538	1355	1159
539	1358	1157
540	1360	1154
541	1365	1153
542	1367	1151
543	1369	1147
544	1371	1144
545	1372	1140
546	1375	1138
547	1378	1136
548	1382	1135
549	1384	1132
550	1386	1129
551	1388	1126
552	1389	1123
553	1391	1120
554	1393	1117
555	1398	1116
556	1401	1114
557	1403	1111
558	1404	1107
559	1406	1104
560	1407	1101
561	1409	1098
562	1410	1094
563	1411	1091
564	1417	1091
565	1421	1090
566	1424	1087
567	1426	1084
568	1427	1081
569	1429	1078
570	1430	1075
571	1438	1076
572	1439	1073
573	1441	1070
574	1443	1067
575	1445	1064
576	1446	1060
577	1447	1057
578	1449	1054
579	1452	1051
580	1455	1049
581	1457	1046
582	1459	1043
583	1462	1041
584	1464	1038
585	1465	1035
586	1467	1032
587	1469	1029
588	1471	1026
589	1474	1024
590	1480	1024
591	1482	1021
592	1483	1018
593	1484	1014
594	1485	1011
595	1487	1008
596	1488	1005
597	1490	1001
598	1497	1002
599	1499	999
600	1502	997
601	1503	994
602	1505	991
603	1506	987
604	1507	984
605	1509	981
606	1512	979
607	1516	977
608	1520	976
609	1523	973
610	1524	970
611	1526	967
612	1527	964
613	1529	961
614	1531	958
615	1536	957
616	1537	954
617	1538	951
618	1542	949
619	1543	946
620	1545	943
621	1547	940
622	1548	937
623	1550	934
624	1551	930
625	1557	930
626	1560	928
627	1562	925
628	1564	922
629	1566	919
630	1567	916
631	1569	913
632	1573	912
633	1576	910
634	1578	907
635	1581	905
636	1583	902
637	1584	899
638	1586	896
639	1588	893
640	1590	890
641	1591	887
642	1596	886
643	1598	883
644	1601	881
645	1604	879
646	1606	876
647	1607	873
648	1609	870
649	1611	867
650	1620	868
651	1621	865
652	1623	862
653	1625	859
654	1626	856
655	1628	853
656	1630	851
657	1634	849
658	1639	848
659	1641	845
660	1643	842
661	1645	840
662	1647	837
663	1649	834
664	1655	833
665	1659	832
666	1662	829
667	1664	827
668	1666	824
669	1666	821
670	1668	818
671	1670	815
672	1675	814
673	1677	811
674	1679	808
675	1681	805
676	1682	802
677	1684	800
678	1686	797
679	1688	794
680	1689	791
681	1692	789
682	1698	788
683	1701	785
684	1703	783
685	1705	780
686	1706	777
687	1707	774
688	1709	771
689	1713	769
690	1715	767
691	1716	764
692	1719	761
693	1721	759
694	1723	756
695	1724	753
696	1726	750
697	1728	747
698	1729	744
699	1733	742
700	1739	742
701	1741	739
702	1743	736
703	1744	733
704	1746	730
705	1748	728
706	1750	725
707	1757	724
708	1759	722
709	1761	719
710	1763	716
711	1765	714
712	1766	711
713	1768	708
714	1769	705
715	1771	702
716	1775	700
717	1777	698
718	1778	695
719	1781	692
720	1782	689
721	1783	686
722	1785	684
723	1787	681
724	1788	678
725	1790	675
726	1796	674
727	1799	672
728	1801	669
729	1802	666
730	1804	663
731	1805	661
732	1807	658
733	1808	655
734	1812	653
735	1815	651
736	1818	649
737	1820	646
738	1822	643
739	1824	640
740	1826	638
741	1828	635
742	1829	632
743	1836	632
744	1839	629
745	1841	627
746	1843	624
747	1845	621
748	1846	618
749	1847	615
750	1849	613
751	1855	611
752	1858	609
753	1859	606
754	1861	603
755	1862	601
756	1864	598
757	1866	595
758	1867	593
759	1869	590
760	1874	588
761	1876	586
762	1879	583
763	1881	581
764	1883	578
765	1885	576
766	1886	573
767	1888	570
768	1890	567
769	1896	566
770	1898	563
771	1901	561
772	1903	558
773	1905	556
774	1906	553
775	1908	550
776	1909	548
777	1913	546
778	1917	543
779	1919	541
780	1921	538
781	1923	536
782	1924	533
783	1926	530
784	1928	528
785	1929	525
786	1936	524
787	1940	521
788	1942	519
789	1944	516
790	1945	514
791	1947	511
792	1949	508
793	1953	506
794	1957	504
795	1960	502
796	1962	499
797	1964	497
798	1965	494
799	1967	491
800	1969	489
801	1970	486
802	1974	484
803	1976	481
804	1979	479
805	1982	477
806	1984	474
807	1985	471
808	1987	469
809	1989	466
810	1990	463
811	1991	461
812	1997	459
813	2000	457
814	2003	454
815	2005	452
816	2006	449
817	2007	446
818	2009	444
819	2011	441
820	2013	438
821	2019	437
822	2022	435
823	2024	432
824	2026	429
825	2026	426
826	2028	424
827	2030	421
828	2031	419
829	2036	417
830	2038	414
831	2042	412
832	2043	409
833	2045	407
834	2046	404
835	2047	401
836	2048	398
837	2050	396
838	2052	393
839	2058	392
840	2062	389
841	2064	387
842	2066	384
843	2067	382
844	2069	379
845	2071	377
846	2072	374
847	2079	372
848	2082	370
849	2084	367
850	2086	365
851	2088	362
852	2090	360
853	2091	357
854	2095	355
855	2099	353
856	2101	350
857	2103	348
858	2105	345
859	2107	343
860	2109	340
861	2111	337
862	2116	336
863	2120	333
864	2122	331
865	2124	328
866	2126	326
867	2127	323
868	2129	321
869	2130	318
870	2137	316
871	2139	314
872	2141	311
873	2143	309
874	2145	306
875	2146	303
876	2147	301
877	2149	298
878	2153	296
879	2155	293
880	2158	291
881	2160	288
882	2161	286
883	2162	283
884	2163	281
885	2165	278
886	2166	276
887	2168	273
888	2171	271
889	2176	268
890	2179	266
891	2181	264
892	2183	261
893	2184	259
894	2186	256
895	2188	254
896	2193	251
897	2196	249
898	2199	247
899	2200	244
900	2202	242
901	2204	239
902	2205	236
903	2207	234
904	2214	232
905	2217	230
906	2218	227
907	2220	224
908	2221	222
909	2223	219
910	2225	217
911	2226	214
912	2233	212
913	2238	210
914	2240	208
915	2241	205
916	2243	203
917	2244	200
918	2245	197
919	2252	195
920	2255	193
921	2257	191
922	2259	188
923	2261	185
924	2262	183
925	2264	180
926	2266	178
927	2271	176
928	2273	173
929	2275	171
930	2277	168
931	2279	166
932	2281	163
933	2282	161
934	2284	158
935	2289	156
936	2291	154
937	2294	151
938	2296	149
939	2298	146
940	2300	144
941	2301	141
942	2303	139
943	2305	136
944	2311	134
945	2315	132
946	2317	129
947	2319	127
948	2321	124
949	2323	122
950	2326	119
951	2330	117
952	2333	115
953	2335	112
954	2337	110
955	2338	107
956	2340	105
957	2341	102
958	2343	100
959	2349	97
960	2352	95
961	2354	93
962	2356	90
963	2357	88
964	2358	85
965	2359	83
966	2360	80
967	2361	78
968	2365	75
969	2368	73
970	2372	70
971	2373	68
972	2375	65
973	2377	63
974	2378	60
975	2380	58
976	2386	56
977	2388	53
978	2390	51
979	2392	48
980	2395	46
981	2396	43
982	2398	41
983	2400	39
984	2406	36
985	2409	34
986	2411	31
987	2412	29
988	2414	26
989	2416	24
990	2418	21
991	2419	19
992	2423	17
993	2425	14
994	2427	12
995	2430	9
996	2431	7
997	2433	4
998	2434	2
999	2436	0
