season_id,playerId,info_position,info_shirtNum,info_positionInfo,info_loan,birth_date_label,birth_country_country,birth_place,age,name_display,id,_accurate_back_zone_pass,_accurate_chipped_pass,_accurate_cross,_accurate_cross_nocorner,_accurate_fwd_zone_pass,_accurate_launches,_accurate_long_balls,_accurate_pass,_accurate_through_ball,_accurate_throws,_aerial_lost,_aerial_won,_appearances,_attempted_tackle_foul,_attempts_conceded_ibox,_attempts_conceded_obox,_attempts_obox,_att_assist_openplay,_att_lf_total,_att_obox_blocked,_att_obx_centre,_att_openplay,_backward_pass,_ball_recovery,_big_chance_created,_blocked_cross,_blocked_pass,_blocked_scoring_att,_challenge_lost,_clean_sheet,_crosses_18yard,_crosses_18yardplus,_dispossessed,_draws,_duel_lost,_duel_won,_effective_blocked_cross,_effective_clearance,_effective_head_clearance,_final_third_entries,_fouled_final_third,_fouls,_fwd_pass,_game_started,_goals_conceded,_goals_conceded_ibox,_goals_conceded_obox,_head_clearance,_head_pass,_interception,_interceptions_in_box,_interception_won,_leftside_pass,_long_pass_own_to_opp,_long_pass_own_to_opp_success,_losses,_lost_corners,_mins_played,_offside_provoked,_offtarget_att_assist,_ontarget_att_assist,_open_play_pass,_outfielder_block,_overrun,_passes_left,_passes_right,_penalty_conceded,_pen_area_entries,_pen_goals_conceded,_poss_lost_all,_poss_lost_ctrl,_poss_won_att_3rd,_poss_won_def_3rd,_poss_won_mid_3rd,_put_through,_rightside_pass,_successful_final_third_passes,_successful_open_play_pass,_successful_put_through,_times_tackled,_total_att_assist,_total_back_zone_pass,_total_chipped_pass,_total_clearance,_total_contest,_total_cross,_total_cross_nocorner,_total_final_third_passes,_total_flick_on,_total_fwd_zone_pass,_total_launches,_total_long_balls,_total_offside,_total_pass,_total_pull_back,_total_scoring_att,_total_sub_off,_total_sub_on,_total_tackle,_total_through_ball,_total_throws,_touches,_touches_in_opp_box,_turnover,_unsuccessful_touch,_was_fouled,_winning_goal,_wins,_won_contest,_won_corners,_won_tackle,_yellow_card,season,per_wins
274,161346.0,G,13.0,Goalkeeper,False,3 January 1987,Spain,Sevilla,32,Adrián,4852.0,174.0,24.0,,,13.0,10.0,50.0,187.0,,,,4.0,11.0,,58.0,35.0,,,,,,,,73.0,,,1.0,,,2.0,,,,0.0,,6.0,,12.0,1.0,12.0,,,132.0,9.0,10.0,8.0,2.0,1.0,1.0,,,,62.0,61.0,13.0,0.0,4.0,873.0,0.0,,,152.0,,,13.0,12.0,,0.0,,73.0,73.0,,5.0,,1.0,66.0,3.0,109.0,,,,199.0,40.0,12.0,,,,12.0,,61.0,47.0,121.0,,260.0,,,,2.0,1.0,,,354.0,,,,1.0,,11.0,,,1.0,1.0,2019,1.0
79,161346.0,G,13.0,Goalkeeper,False,3 January 1987,Spain,Sevilla,30,Adrián,4852.0,91.0,11.0,,,130.0,54.0,174.0,221.0,,0.0,1.0,3.0,19.0,1.0,171.0,140.0,,,,,,,,180.0,,,1.0,,3.0,6.0,,,,6.0,5.0,7.0,,21.0,0.0,103.0,,1.0,472.0,19.0,29.0,23.0,6.0,0.0,,0.0,0.0,0.0,29.0,382.0,130.0,6.0,16.0,1710.0,,,,201.0,0.0,,28.0,120.0,,11.0,1.0,305.0,305.0,,19.0,1.0,1.0,19.0,23.0,94.0,1.0,,,137.0,23.0,21.0,,,,103.0,,383.0,183.0,471.0,,520.0,,,,,2.0,,0.0,696.0,,,,3.0,,7.0,,,1.0,2.0,2017,0.3684210526315789
54,161346.0,G,13.0,Goalkeeper,False,3 January 1987,Spain,Sevilla,29,Adrián,4852.0,103.0,16.0,,,103.0,52.0,129.0,206.0,,1.0,2.0,2.0,16.0,,132.0,82.0,,1.0,,,,,,145.0,,,0.0,,3.0,6.0,,,,4.0,5.0,5.0,,10.0,,90.0,,,350.0,16.0,25.0,22.0,3.0,,,,,,32.0,292.0,103.0,7.0,18.0,1440.0,,1.0,,193.0,,,19.0,96.0,,9.0,2.0,215.0,215.0,,21.0,,1.0,35.0,23.0,109.0,,0.0,1.0,125.0,18.0,10.0,,,,90.0,,292.0,160.0,339.0,,417.0,,,,,0.0,,1.0,571.0,,,,3.0,0.0,5.0,,,,1.0,2016,0.3125
42,161346.0,G,13.0,Goalkeeper,False,3 January 1987,Spain,Sevilla,28,Adrián,4852.0,220.0,6.0,,,211.0,116.0,275.0,431.0,,,,6.0,32.0,1.0,277.0,182.0,,,,,,,,286.0,,,3.0,,2.0,9.0,,,,14.0,3.0,7.0,,29.0,1.0,185.0,,1.0,738.0,32.0,39.0,32.0,7.0,1.0,1.0,1.0,1.0,1.0,53.0,580.0,215.0,5.0,20.0,2879.0,,,,369.0,,,60.0,129.0,,15.0,5.0,437.0,432.0,,28.0,,3.0,62.0,58.0,180.0,,,,278.0,6.0,34.0,,,,185.0,,575.0,360.0,697.0,,853.0,,,,,,,,1209.0,,1.0,1.0,2.0,,13.0,,1.0,,1.0,2015,0.40625
27,161346.0,G,13.0,Goalkeeper,False,3 January 1987,Spain,Sevilla,27,Adrián,4852.0,178.0,10.0,,,288.0,157.0,333.0,466.0,,,,7.0,38.0,,334.0,245.0,,1.0,,,,,,337.0,,,1.0,,1.0,8.0,,,,11.0,2.0,11.0,,29.0,,275.0,,2.0,918.0,38.0,47.0,43.0,4.0,,,2.0,2.0,2.0,39.0,788.0,290.0,15.0,31.0,3391.0,,1.0,2.0,387.0,,,64.0,87.0,,36.0,2.0,560.0,560.0,,39.0,1.0,1.0,51.0,77.0,207.0,,,3.0,222.0,12.0,29.0,1.0,,,275.0,,786.0,436.0,873.0,,1008.0,,,,,,,,1409.0,,1.0,1.0,7.0,,12.0,,,,3.0,2014,0.3157894736842105
578,312977.0,D,27.0,Centre Central Defender,False,30 March 1996,Morocco,,27,Nayef Aguerd,108628.0,258.0,37.0,,,92.0,1.0,39.0,350.0,,3.0,13.0,21.0,9.0,5.0,94.0,52.0,1.0,1.0,2.0,1.0,1.0,1.0,18.0,39.0,,3.0,3.0,3.0,2.0,1.0,,,1.0,2.0,22.0,36.0,3.0,37.0,20.0,60.0,,7.0,192.0,9.0,16.0,15.0,1.0,20.0,22.0,13.0,5.0,13.0,91.0,124.0,66.0,4.0,12.0,787.0,3.0,1.0,,405.0,13.0,,67.0,18.0,1.0,9.0,2.0,97.0,97.0,,24.0,15.0,3.0,141.0,26.0,321.0,3.0,1.0,1.0,284.0,91.0,37.0,1.0,,,66.0,1.0,158.0,16.0,102.0,,442.0,,9.0,,,10.0,,3.0,550.0,10.0,3.0,3.0,4.0,0.0,3.0,1.0,2.0,4.0,0.0,2023,0.3333333333333333
489,312977.0,D,27.0,Centre Central Defender,False,30 March 1996,Morocco,,26,Nayef Aguerd,108628.0,431.0,54.0,,,168.0,6.0,65.0,599.0,,0.0,31.0,32.0,18.0,5.0,160.0,90.0,,6.0,,,,1.0,41.0,105.0,1.0,1.0,2.0,3.0,7.0,5.0,,,7.0,4.0,53.0,71.0,1.0,78.0,37.0,95.0,,8.0,338.0,17.0,28.0,22.0,6.0,37.0,62.0,18.0,4.0,18.0,193.0,195.0,106.0,9.0,18.0,1595.0,10.0,2.0,4.0,723.0,24.0,,97.0,45.0,1.0,13.0,2.0,179.0,179.0,1.0,74.0,30.0,7.0,187.0,53.0,572.0,2.0,7.0,6.0,490.0,144.0,78.0,4.0,,,110.0,0.0,269.0,30.0,162.0,2.0,759.0,,12.0,1.0,1.0,27.0,,0.0,976.0,23.0,8.0,8.0,8.0,1.0,5.0,4.0,2.0,18.0,4.0,2022,0.2777777777777778
578,351454.0,M,,Midfielder,False,29 March 2002,France,Marseille,21,Naouirou Ahamada,68086.0,5.0,1.0,,,24.0,,1.0,29.0,,,,,4.0,2.0,7.0,5.0,,,,,,,7.0,7.0,,,0.0,,2.0,,2.0,1.0,,1.0,5.0,5.0,,,,1.0,,2.0,9.0,,2.0,2.0,,,1.0,1.0,,1.0,10.0,3.0,3.0,3.0,,56.0,,,,35.0,,,4.0,10.0,,3.0,1.0,12.0,12.0,,3.0,4.0,4.0,10.0,12.0,28.0,0.0,1.0,,7.0,1.0,,3.0,3.0,3.0,16.0,,32.0,,1.0,,36.0,,,,4.0,2.0,,,49.0,,1.0,1.0,1.0,0.0,0.0,2.0,,2.0,,2023,0.0
489,351454.0,M,,Midfielder,False,29 March 2002,France,Marseille,20,Naouirou Ahamada,68086.0,16.0,,,,21.0,1.0,1.0,37.0,,,1.0,,8.0,1.0,8.0,4.0,,1.0,1.0,,,2.0,8.0,8.0,,,2.0,0.0,2.0,,2.0,,1.0,3.0,7.0,4.0,,,,4.0,,2.0,11.0,,2.0,2.0,,,4.0,,,,19.0,5.0,3.0,5.0,,87.0,,0.0,1.0,43.0,,1.0,5.0,8.0,,1.0,1.0,17.0,17.0,,4.0,4.0,2.0,6.0,10.0,36.0,2.0,2.0,1.0,18.0,,,2.0,2.0,2.0,11.0,1.0,28.0,1.0,2.0,2.0,44.0,,3.0,,8.0,3.0,,,66.0,4.0,5.0,5.0,,0.0,0.0,1.0,1.0,2.0,1.0,2022,0.0
578,315745.0,D,15.0,Centre Central Defender,False,26 March 1999,Sweden,Malmö,24,Anel Ahmedhodzic,20855.0,132.0,12.0,,,71.0,1.0,14.0,203.0,,19.0,12.0,13.0,8.0,4.0,119.0,58.0,2.0,,,1.0,2.0,6.0,31.0,37.0,,1.0,6.0,2.0,6.0,,2.0,1.0,6.0,1.0,39.0,36.0,1.0,27.0,5.0,29.0,,11.0,123.0,8.0,22.0,21.0,1.0,5.0,36.0,11.0,1.0,11.0,88.0,45.0,21.0,7.0,6.0,720.0,2.0,,,270.0,11.0,1.0,3.0,62.0,,5.0,,90.0,90.0,1.0,25.0,11.0,12.0,31.0,28.0,200.0,6.0,10.0,,158.0,31.0,27.0,8.0,3.0,3.0,49.0,1.0,118.0,11.0,38.0,1.0,273.0,,8.0,,,17.0,,21.0,410.0,10.0,3.0,3.0,2.0,0.0,0.0,4.0,4.0,12.0,3.0,2023,0.0
