home_name,away_name,result,home_team_result,away_team_result,home_avg_odds,draw_avg_odds,away_avg_odds,season,date_start_timestamp
Cardiff,Liverpool,0:2,0,2,16.42,7.73,1.18,2018-2019,1555858800
Everton,Manchester Utd,4:0,4,0,3.27,3.51,2.24,2018-2019,1555849800
Newcastle,Southampton,3:1,3,1,2.41,3.05,3.44,2018-2019,1555777800
Bournemouth,Fulham,0:1,0,1,1.7,4.17,4.81,2018-2019,1555768800
Huddersfield,Watford,1:2,1,2,4.07,3.57,1.95,2018-2019,1555768800
West Ham,Leicester,2:2,2,2,3.27,3.55,2.22,2018-2019,1555768800
Wolves,Brighton,0:0,0,0,1.93,3.17,4.9,2018-2019,1555768800
Manchester City,Tottenham,1:0,1,0,1.27,6.34,10.79,2018-2019,1555759800
Brighton,Cardiff,0:2,0,2,1.98,3.26,4.43,2018-2019,1555440300
Watford,Arsenal,0:1,0,1,3.69,3.69,2.03,2018-2019,1555354800
Liverpool,Chelsea,2:0,2,0,1.72,3.82,5.23,2018-2019,1555255800
Crystal Palace,Manchester City,1:3,1,3,13.09,6.71,1.23,2018-2019,1555247100
Manchester Utd,West Ham,2:1,2,1,1.31,5.78,9.62,2018-2019,1555173000
Brighton,Bournemouth,0:5,0,5,2.28,3.25,3.42,2018-2019,1555164000
Burnley,Cardiff,2:0,2,0,1.83,3.56,4.72,2018-2019,1555164000
Fulham,Everton,2:0,2,0,4.9,4.19,1.68,2018-2019,1555164000
Southampton,Wolves,3:1,3,1,2.71,3.16,2.83,2018-2019,1555164000
Tottenham,Huddersfield,4:0,4,0,1.2,6.95,16.12,2018-2019,1555155000
Leicester,Newcastle,0:1,0,1,1.65,3.85,5.86,2018-2019,1555095600
Chelsea,West Ham,2:0,2,0,1.23,6.74,13.35,2018-2019,1554750000
Everton,Arsenal,1:0,1,0,2.89,3.51,2.48,2018-2019,1554642300
Bournemouth,Burnley,1:3,1,3,2.04,3.54,3.77,2018-2019,1554559200
Huddersfield,Leicester,1:4,1,4,5.47,4.04,1.64,2018-2019,1554559200
Newcastle,Crystal Palace,0:1,0,1,2.7,3.14,2.88,2018-2019,1554559200
Southampton,Liverpool,1:3,1,3,8.78,5.19,1.37,2018-2019,1554490800
Chelsea,Brighton,3:0,3,0,1.28,5.55,12.47,2018-2019,1554317100
Manchester City,Cardiff,2:0,2,0,1.07,14.97,30.81,2018-2019,1554317100
Tottenham,Crystal Palace,2:0,2,0,1.46,4.56,7.64,2018-2019,1554317100
Watford,Fulham,4:1,4,1,1.71,3.84,5.21,2018-2019,1554230700
Wolves,Manchester Utd,2:1,2,1,3.28,3.2,2.39,2018-2019,1554230700
Arsenal,Newcastle,2:0,2,0,1.42,4.75,8.24,2018-2019,1554145200
Liverpool,Tottenham,2:1,2,1,1.55,4.4,5.99,2018-2019,1554046200
Cardiff,Chelsea,1:2,1,2,8.9,4.64,1.41,2018-2019,1554037500
West Ham,Everton,0:2,0,2,2.64,3.35,2.79,2018-2019,1553967000
Brighton,Southampton,0:1,0,1,2.51,3.13,3.13,2018-2019,1553958000
Burnley,Wolves,2:0,2,0,2.88,3.15,2.69,2018-2019,1553958000
Crystal Palace,Huddersfield,2:0,2,0,1.45,4.38,8.29,2018-2019,1553958000
Leicester,Bournemouth,2:0,2,0,1.78,3.91,4.55,2018-2019,1553958000
Manchester Utd,Watford,2:1,2,1,1.39,5.11,8.29,2018-2019,1553958000
Fulham,Manchester City,0:2,0,2,19.85,10.98,1.12,2018-2019,1553949000
Everton,Chelsea,2:0,2,0,4.59,3.69,1.83,2018-2019,1552840200
Fulham,Liverpool,1:2,1,2,12.6,7.89,1.2,2018-2019,1552832100
Bournemouth,Newcastle,2:2,2,2,2.12,3.5,3.59,2018-2019,1552748400
Burnley,Leicester,1:2,1,2,3.14,3.34,2.38,2018-2019,1552748400
West Ham,Huddersfield,4:3,4,3,1.53,4.23,6.77,2018-2019,1552748400
Arsenal,Manchester Utd,2:0,2,0,2.35,3.55,3.04,2018-2019,1552235400
Chelsea,Wolves,1:1,1,1,1.58,3.9,6.89,2018-2019,1552226700
Liverpool,Burnley,4:2,4,2,1.17,7.82,18.34,2018-2019,1552219200
Manchester City,Watford,3:1,3,1,1.11,10.59,23.0,2018-2019,1552152600
Cardiff,West Ham,2:0,2,0,3.01,3.43,2.43,2018-2019,1552143600
Huddersfield,Bournemouth,0:2,0,2,3.08,3.33,2.44,2018-2019,1552143600
Leicester,Fulham,3:1,3,1,1.58,4.32,5.84,2018-2019,1552143600
Newcastle,Everton,3:2,3,2,2.72,3.13,2.88,2018-2019,1552143600
Southampton,Tottenham,2:1,2,1,4.57,3.83,1.8,2018-2019,1552143600
Crystal Palace,Brighton,1:2,1,2,1.88,3.27,5.06,2018-2019,1552134600
Everton,Liverpool,0:0,0,0,6.42,4.0,1.59,2018-2019,1551629700
Fulham,Chelsea,1:2,1,2,8.42,4.8,1.41,2018-2019,1551621900
Watford,Leicester,2:1,2,1,2.73,3.3,2.73,2018-2019,1551614400
West Ham,Newcastle,2:0,2,0,2.15,3.35,3.64,2018-2019,1551547800
Bournemouth,Manchester City,0:1,0,1,14.68,8.33,1.18,2018-2019,1551538800
Brighton,Huddersfield,1:0,1,0,1.78,3.37,5.68,2018-2019,1551538800
Burnley,Crystal Palace,1:3,1,3,2.91,3.25,2.6,2018-2019,1551538800
Manchester Utd,Southampton,3:2,3,2,1.44,4.52,8.18,2018-2019,1551538800
Wolves,Cardiff,2:0,2,0,1.73,3.53,5.7,2018-2019,1551538800
Tottenham,Arsenal,1:1,1,1,1.99,3.54,3.98,2018-2019,1551529800
Chelsea,Tottenham,2:0,2,0,2.38,3.25,3.24,2018-2019,1551297600
Crystal Palace,Manchester Utd,1:3,1,3,3.39,3.27,2.3,2018-2019,1551297600
Liverpool,Watford,5:0,5,0,1.27,5.9,12.21,2018-2019,1551297600
Manchester City,West Ham,1:0,1,0,1.1,11.31,23.47,2018-2019,1551297600
Arsenal,Bournemouth,5:1,5,1,1.38,5.18,8.13,2018-2019,1551296700
Southampton,Fulham,2:0,2,0,1.97,3.44,4.18,2018-2019,1551296700
Newcastle,Burnley,2:0,2,0,2.14,3.23,3.83,2018-2019,1551211200
Cardiff,Everton,0:3,0,3,3.94,3.35,2.06,2018-2019,1551210300
Huddersfield,Wolves,1:0,1,0,5.57,3.59,1.73,2018-2019,1551210300
Leicester,Brighton,2:1,2,1,1.81,3.48,5.12,2018-2019,1551210300
Arsenal,Southampton,2:0,2,0,1.55,4.26,6.38,2018-2019,1551017100
Manchester Utd,Liverpool,0:0,0,0,3.52,3.47,2.15,2018-2019,1551017100
Leicester,Crystal Palace,1:4,1,4,2.27,3.34,3.39,2018-2019,1550943000
Bournemouth,Wolves,1:1,1,1,3.12,3.29,2.43,2018-2019,1550934000
Newcastle,Huddersfield,2:0,2,0,1.89,3.33,4.81,2018-2019,1550934000
Burnley,Tottenham,2:1,2,1,6.15,4.09,1.59,2018-2019,1550925000
Cardiff,Watford,1:5,1,5,3.17,3.28,2.4,2018-2019,1550864700
West Ham,Fulham,3:1,3,1,1.99,3.48,4.04,2018-2019,1550864700
Wolves,Newcastle,1:1,1,1,1.76,3.53,5.5,2018-2019,1549915200
Manchester City,Chelsea,6:0,6,0,1.55,4.33,6.26,2018-2019,1549814400
Tottenham,Leicester,3:1,3,1,1.7,3.72,5.55,2018-2019,1549805400
Brighton,Burnley,1:3,1,3,2.03,3.29,4.2,2018-2019,1549733400
Crystal Palace,West Ham,1:1,1,1,1.96,3.54,4.11,2018-2019,1549724400
Huddersfield,Arsenal,1:2,1,2,5.57,3.93,1.66,2018-2019,1549724400
Liverpool,Bournemouth,3:0,3,0,1.16,8.51,16.36,2018-2019,1549724400
Southampton,Cardiff,1:2,1,2,1.82,3.52,4.95,2018-2019,1549724400
Watford,Everton,1:0,1,0,2.51,3.33,2.98,2018-2019,1549724400
Fulham,Manchester Utd,0:3,0,3,5.1,4.06,1.69,2018-2019,1549715400
Everton,Manchester City,0:2,0,2,10.26,6.08,1.29,2018-2019,1549482300
West Ham,Liverpool,1:1,1,1,9.24,5.99,1.31,2018-2019,1549310400
Manchester City,Arsenal,3:1,3,1,1.25,7.08,10.5,2018-2019,1549211400
Leicester,Manchester Utd,0:1,0,1,3.8,3.61,2.01,2018-2019,1549202700
Cardiff,Bournemouth,2:0,2,0,3.33,3.45,2.24,2018-2019,1549128600
Brighton,Watford,0:0,0,0,2.44,3.22,3.15,2018-2019,1549119600
Burnley,Southampton,1:1,1,1,2.54,3.36,2.88,2018-2019,1549119600
Chelsea,Huddersfield,5:0,5,0,1.22,6.61,14.45,2018-2019,1549119600
Crystal Palace,Fulham,2:0,2,0,2.0,3.49,4.01,2018-2019,1549119600
Everton,Wolves,1:3,1,3,2.66,3.24,2.84,2018-2019,1549119600
Tottenham,Newcastle,1:0,1,0,1.42,4.47,8.91,2018-2019,1549110600
Liverpool,Leicester,1:1,1,1,1.24,6.64,12.07,2018-2019,1548878400
Tottenham,Watford,2:1,2,1,1.57,4.11,6.28,2018-2019,1548878400
Bournemouth,Chelsea,4:0,4,0,5.59,4.24,1.61,2018-2019,1548877500
Southampton,Crystal Palace,1:1,1,1,2.47,3.3,3.02,2018-2019,1548877500
Manchester Utd,Burnley,2:2,2,2,1.33,5.25,10.1,2018-2019,1548792000
Newcastle,Manchester City,2:1,2,1,16.83,8.12,1.17,2018-2019,1548792000
Arsenal,Cardiff,2:1,2,1,1.21,6.78,14.06,2018-2019,1548791100
Fulham,Brighton,4:2,4,2,2.44,3.21,3.16,2018-2019,1548791100
Huddersfield,Everton,0:1,0,1,3.66,3.18,2.23,2018-2019,1548791100
Wolves,West Ham,3:0,3,0,1.97,3.54,4.04,2018-2019,1548791100
Fulham,Tottenham,1:2,1,2,5.48,3.72,1.7,2018-2019,1548000000
Huddersfield,Manchester City,0:3,0,3,23.9,9.63,1.12,2018-2019,1547991000
Arsenal,Chelsea,2:0,2,0,3.3,3.46,2.24,2018-2019,1547919000
Bournemouth,West Ham,2:0,2,0,2.11,3.66,3.44,2018-2019,1547910000
Liverpool,Crystal Palace,4:3,4,3,1.21,7.04,13.67,2018-2019,1547910000
Manchester Utd,Brighton,2:1,2,1,1.36,5.14,9.52,2018-2019,1547910000
Newcastle,Cardiff,3:0,3,0,2.05,3.17,4.29,2018-2019,1547910000
Southampton,Everton,2:1,2,1,2.87,3.39,2.54,2018-2019,1547910000
Watford,Burnley,0:0,0,0,1.7,3.84,5.36,2018-2019,1547910000
Wolves,Leicester,4:3,4,3,2.3,3.18,3.47,2018-2019,1547901000
Manchester City,Wolves,3:0,3,0,1.19,7.39,17.17,2018-2019,1547496000
Tottenham,Manchester Utd,0:1,0,1,2.06,3.54,3.7,2018-2019,1547397000
Everton,Bournemouth,2:0,2,0,1.71,3.95,5.02,2018-2019,1547388900
Chelsea,Newcastle,2:1,2,1,1.2,6.66,17.59,2018-2019,1547314200
Brighton,Liverpool,0:1,0,1,10.72,5.14,1.33,2018-2019,1547305200
Burnley,Fulham,2:1,2,1,2.38,3.23,3.26,2018-2019,1547305200
Cardiff,Huddersfield,0:0,0,0,2.14,3.22,3.87,2018-2019,1547305200
Crystal Palace,Watford,1:2,1,2,2.31,3.33,3.31,2018-2019,1547305200
Leicester,Southampton,1:2,1,2,1.92,3.35,4.59,2018-2019,1547305200
West Ham,Arsenal,1:0,1,0,3.52,3.89,2.02,2018-2019,1547296200
Manchester City,Liverpool,2:1,2,1,1.96,3.82,3.81,2018-2019,1546545600
Newcastle,Manchester Utd,0:2,0,2,5.9,4.14,1.6,2018-2019,1546459200
Bournemouth,Watford,3:3,3,3,2.56,3.48,2.81,2018-2019,1546458300
Chelsea,Southampton,0:0,0,0,1.27,5.9,12.62,2018-2019,1546458300
Huddersfield,Burnley,1:2,1,2,2.43,3.05,3.39,2018-2019,1546458300
West Ham,Brighton,2:2,2,2,2.0,3.56,3.97,2018-2019,1546458300
Wolves,Crystal Palace,0:2,0,2,2.29,3.16,3.56,2018-2019,1546458300
Cardiff,Tottenham,0:3,0,3,8.73,4.86,1.39,2018-2019,1546363800
Arsenal,Fulham,4:1,4,1,1.37,5.38,8.41,2018-2019,1546354800
Everton,Leicester,0:1,0,1,2.0,3.52,4.01,2018-2019,1546345800
Manchester Utd,Bournemouth,4:1,4,1,1.37,5.35,8.63,2018-2019,1546187400
Burnley,West Ham,2:0,2,0,3.79,3.53,2.05,2018-2019,1546179300
Southampton,Manchester City,1:3,1,3,12.59,7.09,1.22,2018-2019,1546179300
Crystal Palace,Chelsea,0:1,0,1,4.95,3.82,1.75,2018-2019,1546171200
Liverpool,Arsenal,5:1,5,1,1.39,5.36,7.61,2018-2019,1546104600
Brighton,Everton,1:0,1,0,3.38,3.26,2.32,2018-2019,1546095600
Fulham,Huddersfield,1:0,1,0,2.04,3.26,4.2,2018-2019,1546095600
Leicester,Cardiff,0:1,0,1,1.56,3.87,7.33,2018-2019,1546095600
Tottenham,Wolves,1:3,1,3,1.45,4.43,8.19,2018-2019,1546095600
Watford,Newcastle,1:1,1,1,1.74,3.73,5.25,2018-2019,1546095600
Southampton,West Ham,1:2,1,2,2.29,3.35,3.36,2018-2019,1545939900
Watford,Chelsea,1:2,1,2,5.53,3.97,1.66,2018-2019,1545852600
Brighton,Arsenal,1:1,1,1,5.33,3.9,1.7,2018-2019,1545844500
Burnley,Everton,1:5,1,5,4.29,3.64,1.9,2018-2019,1545836400
Crystal Palace,Cardiff,0:0,0,0,1.64,3.73,6.46,2018-2019,1545836400
Leicester,Manchester City,2:1,2,1,9.54,5.62,1.33,2018-2019,1545836400
Liverpool,Newcastle,4:0,4,0,1.16,8.04,19.86,2018-2019,1545836400
Manchester Utd,Huddersfield,3:1,3,1,1.28,5.84,12.17,2018-2019,1545836400
Tottenham,Bournemouth,5:0,5,0,1.36,5.39,8.94,2018-2019,1545836400
Fulham,Wolves,1:1,1,1,3.0,3.15,2.62,2018-2019,1545827400
Burnley,Bournemouth,1:2,1,2,2.36,3.46,3.09,2017-2018,1526220000
Crystal Palace,West Brom,2:0,2,0,1.77,3.86,4.7,2017-2018,1526220000
Huddersfield,Arsenal,0:1,0,1,5.64,4.73,1.55,2017-2018,1526220000
Liverpool,Brighton,4:0,4,0,1.22,7.16,12.82,2017-2018,1526220000
Manchester Utd,Watford,1:0,1,0,1.53,4.34,6.6,2017-2018,1526220000
Newcastle,Chelsea,3:0,3,0,4.65,3.86,1.78,2017-2018,1526220000
Southampton,Manchester City,0:1,0,1,6.09,4.57,1.53,2017-2018,1526220000
Swansea,Stoke,1:2,1,2,2.04,3.55,3.77,2017-2018,1526220000
Tottenham,Leicester,5:4,5,4,1.38,5.51,7.84,2017-2018,1526220000
West Ham,Everton,3:1,3,1,2.32,3.4,3.21,2017-2018,1526220000
West Ham,Manchester Utd,0:0,0,0,4.55,3.81,1.8,2017-2018,1525977900
Manchester City,Brighton,3:1,3,1,1.19,7.77,16.53,2017-2018,1525892400
Tottenham,Newcastle,1:0,1,0,1.21,7.25,14.35,2017-2018,1525892400
Chelsea,Huddersfield,1:1,1,1,1.25,5.92,14.96,2017-2018,1525891500
Leicester,Arsenal,3:1,3,1,3.86,3.9,1.93,2017-2018,1525891500
Swansea,Southampton,0:1,0,1,3.31,3.2,2.38,2017-2018,1525805100
Arsenal,Burnley,5:0,5,0,1.42,4.96,7.65,2017-2018,1525620600
Chelsea,Liverpool,1:0,1,0,2.17,3.66,3.31,2017-2018,1525620600
Manchester City,Huddersfield,0:0,0,0,1.08,13.1,29.59,2017-2018,1525609800
Everton,Southampton,1:1,1,1,2.81,3.28,2.66,2017-2018,1525537800
Bournemouth,Swansea,1:0,1,0,2.0,3.58,3.93,2017-2018,1525528800
Leicester,West Ham,0:2,0,2,2.27,3.47,3.28,2017-2018,1525528800
Watford,Newcastle,2:1,2,1,2.19,3.31,3.64,2017-2018,1525528800
West Brom,Tottenham,1:0,1,0,7.36,4.5,1.47,2017-2018,1525528800
Stoke,Crystal Palace,1:2,1,2,2.52,3.46,2.86,2017-2018,1525519800
Brighton,Manchester Utd,1:0,1,0,4.9,3.48,1.84,2017-2018,1525460400
Tottenham,Watford,2:0,2,0,1.17,8.45,16.54,2017-2018,1525114800
Manchester Utd,Arsenal,2:1,2,1,1.39,5.35,8.03,2017-2018,1525015800
West Ham,Manchester City,1:4,1,4,9.41,5.73,1.33,2017-2018,1525007700
Swansea,Chelsea,0:1,0,1,7.63,4.71,1.44,2017-2018,1524933000
Burnley,Brighton,0:0,0,0,2.37,3.11,3.45,2017-2018,1524924000
Crystal Palace,Leicester,5:0,5,0,2.08,3.54,3.71,2017-2018,1524924000
Huddersfield,Everton,0:2,0,2,2.67,3.04,3.01,2017-2018,1524924000
Newcastle,West Brom,0:1,0,1,1.96,3.34,4.43,2017-2018,1524924000
Southampton,Bournemouth,2:1,2,1,1.69,4.08,5.04,2017-2018,1524924000
Liverpool,Stoke,0:0,0,0,1.29,5.93,11.27,2017-2018,1524915000
Everton,Newcastle,1:0,1,0,2.18,3.31,3.66,2017-2018,1524510000
Manchester City,Swansea,5:0,5,0,1.13,9.46,20.58,2017-2018,1524411000
Arsenal,West Ham,4:1,4,1,1.51,4.56,6.53,2017-2018,1524400200
Stoke,Burnley,1:1,1,1,2.24,3.36,3.44,2017-2018,1524400200
Watford,Crystal Palace,0:0,0,0,3.08,3.3,2.45,2017-2018,1524319200
West Brom,Liverpool,2:2,2,2,6.38,4.04,1.59,2017-2018,1524310200
Burnley,Chelsea,1:2,1,2,4.43,3.53,1.9,2017-2018,1524163500
Leicester,Southampton,0:0,0,0,2.39,3.45,3.06,2017-2018,1524163500
Bournemouth,Manchester Utd,0:2,0,2,4.5,3.82,1.82,2017-2018,1524077100
Brighton,Tottenham,1:1,1,1,6.32,4.26,1.56,2017-2018,1523990700
West Ham,Stoke,1:1,1,1,1.99,3.48,4.09,2017-2018,1523905200
Manchester Utd,West Brom,0:1,0,1,1.2,7.13,17.28,2017-2018,1523804400
Newcastle,Arsenal,2:1,2,1,2.87,3.49,2.5,2017-2018,1523795400
Tottenham,Manchester City,1:3,1,3,2.76,3.61,2.52,2017-2018,1523731500
Burnley,Bournemouth,1:2,1,2,2.36,3.46,3.09,2017-2018,1526220000
Crystal Palace,West Brom,2:0,2,0,1.77,3.86,4.7,2017-2018,1526220000
Huddersfield,Arsenal,0:1,0,1,5.64,4.73,1.55,2017-2018,1526220000
Liverpool,Brighton,4:0,4,0,1.22,7.16,12.82,2017-2018,1526220000
Manchester Utd,Watford,1:0,1,0,1.53,4.34,6.6,2017-2018,1526220000
Newcastle,Chelsea,3:0,3,0,4.65,3.86,1.78,2017-2018,1526220000
Southampton,Manchester City,0:1,0,1,6.09,4.57,1.53,2017-2018,1526220000
Swansea,Stoke,1:2,1,2,2.04,3.55,3.77,2017-2018,1526220000
Tottenham,Leicester,5:4,5,4,1.38,5.51,7.84,2017-2018,1526220000
West Ham,Everton,3:1,3,1,2.32,3.4,3.21,2017-2018,1526220000
West Ham,Manchester Utd,0:0,0,0,4.55,3.81,1.8,2017-2018,1525977900
Manchester City,Brighton,3:1,3,1,1.19,7.77,16.53,2017-2018,1525892400
Tottenham,Newcastle,1:0,1,0,1.21,7.25,14.35,2017-2018,1525892400
Chelsea,Huddersfield,1:1,1,1,1.25,5.92,14.96,2017-2018,1525891500
Leicester,Arsenal,3:1,3,1,3.86,3.9,1.93,2017-2018,1525891500
Swansea,Southampton,0:1,0,1,3.31,3.2,2.38,2017-2018,1525805100
Arsenal,Burnley,5:0,5,0,1.42,4.96,7.65,2017-2018,1525620600
Chelsea,Liverpool,1:0,1,0,2.17,3.66,3.31,2017-2018,1525620600
Manchester City,Huddersfield,0:0,0,0,1.08,13.1,29.59,2017-2018,1525609800
Everton,Southampton,1:1,1,1,2.81,3.28,2.66,2017-2018,1525537800
Bournemouth,Swansea,1:0,1,0,2.0,3.58,3.93,2017-2018,1525528800
Leicester,West Ham,0:2,0,2,2.27,3.47,3.28,2017-2018,1525528800
Watford,Newcastle,2:1,2,1,2.19,3.31,3.64,2017-2018,1525528800
West Brom,Tottenham,1:0,1,0,7.36,4.5,1.47,2017-2018,1525528800
Stoke,Crystal Palace,1:2,1,2,2.52,3.46,2.86,2017-2018,1525519800
Brighton,Manchester Utd,1:0,1,0,4.9,3.48,1.84,2017-2018,1525460400
Tottenham,Watford,2:0,2,0,1.17,8.45,16.54,2017-2018,1525114800
Manchester Utd,Arsenal,2:1,2,1,1.39,5.35,8.03,2017-2018,1525015800
West Ham,Manchester City,1:4,1,4,9.41,5.73,1.33,2017-2018,1525007700
Swansea,Chelsea,0:1,0,1,7.63,4.71,1.44,2017-2018,1524933000
Burnley,Brighton,0:0,0,0,2.37,3.11,3.45,2017-2018,1524924000
Crystal Palace,Leicester,5:0,5,0,2.08,3.54,3.71,2017-2018,1524924000
Huddersfield,Everton,0:2,0,2,2.67,3.04,3.01,2017-2018,1524924000
Newcastle,West Brom,0:1,0,1,1.96,3.34,4.43,2017-2018,1524924000
Southampton,Bournemouth,2:1,2,1,1.69,4.08,5.04,2017-2018,1524924000
Liverpool,Stoke,0:0,0,0,1.29,5.93,11.27,2017-2018,1524915000
Everton,Newcastle,1:0,1,0,2.18,3.31,3.66,2017-2018,1524510000
Manchester City,Swansea,5:0,5,0,1.13,9.46,20.58,2017-2018,1524411000
Arsenal,West Ham,4:1,4,1,1.51,4.56,6.53,2017-2018,1524400200
Stoke,Burnley,1:1,1,1,2.24,3.36,3.44,2017-2018,1524400200
Watford,Crystal Palace,0:0,0,0,3.08,3.3,2.45,2017-2018,1524319200
West Brom,Liverpool,2:2,2,2,6.38,4.04,1.59,2017-2018,1524310200
Burnley,Chelsea,1:2,1,2,4.43,3.53,1.9,2017-2018,1524163500
Leicester,Southampton,0:0,0,0,2.39,3.45,3.06,2017-2018,1524163500
Bournemouth,Manchester Utd,0:2,0,2,4.5,3.82,1.82,2017-2018,1524077100
Brighton,Tottenham,1:1,1,1,6.32,4.26,1.56,2017-2018,1523990700
West Ham,Stoke,1:1,1,1,1.99,3.48,4.09,2017-2018,1523905200
Manchester Utd,West Brom,0:1,0,1,1.2,7.13,17.28,2017-2018,1523804400
Newcastle,Arsenal,2:1,2,1,2.87,3.49,2.5,2017-2018,1523795400
Tottenham,Manchester City,1:3,1,3,2.76,3.61,2.52,2017-2018,1523731500
Liverpool,Bournemouth,3:0,3,0,1.23,7.05,13.04,2017-2018,1523723400
Burnley,Leicester,2:1,2,1,2.6,3.15,2.99,2017-2018,1523714400
Crystal Palace,Brighton,3:2,3,2,1.85,3.48,4.87,2017-2018,1523714400
Huddersfield,Watford,1:0,1,0,2.57,3.16,3.03,2017-2018,1523714400
Swansea,Everton,1:1,1,1,2.69,3.15,2.9,2017-2018,1523714400
Southampton,Chelsea,2:3,2,3,4.62,3.76,1.81,2017-2018,1523705400
Chelsea,West Ham,1:1,1,1,1.3,5.76,11.07,2017-2018,1523201400
Arsenal,Southampton,3:2,3,2,1.77,3.81,4.87,2017-2018,1523193300
Manchester City,Manchester Utd,2:3,2,3,1.84,3.68,4.53,2017-2018,1523118600
Bournemouth,Crystal Palace,2:2,2,2,2.59,3.5,2.77,2017-2018,1523109600
Brighton,Huddersfield,1:1,1,1,1.74,3.61,5.57,2017-2018,1523109600
Leicester,Newcastle,1:2,1,2,1.86,3.56,4.65,2017-2018,1523109600
Stoke,Tottenham,1:2,1,2,11.01,6.0,1.29,2017-2018,1523109600
Watford,Burnley,1:2,1,2,2.34,3.19,3.43,2017-2018,1523109600
West Brom,Swansea,1:1,1,1,2.43,3.19,3.29,2017-2018,1523109600
Everton,Liverpool,0:0,0,0,3.64,3.44,2.14,2017-2018,1523100600
Chelsea,Tottenham,1:3,1,3,2.32,3.39,3.26,2017-2018,1522594800
Arsenal,Stoke,3:0,3,0,1.3,5.91,10.59,2017-2018,1522585800
Everton,Manchester City,1:3,1,3,9.63,5.28,1.35,2017-2018,1522513800
Brighton,Leicester,0:2,0,2,2.77,3.25,2.75,2017-2018,1522504800
Manchester Utd,Swansea,2:0,2,0,1.23,6.5,15.11,2017-2018,1522504800
Newcastle,Huddersfield,1:0,1,0,1.77,3.61,5.29,2017-2018,1522504800
Watford,Bournemouth,2:2,2,2,2.27,3.47,3.29,2017-2018,1522504800
West Brom,Burnley,1:2,1,2,2.58,3.05,3.14,2017-2018,1522504800
West Ham,Southampton,3:0,3,0,2.86,3.19,2.71,2017-2018,1522504800
Crystal Palace,Liverpool,1:2,1,2,6.73,4.69,1.49,2017-2018,1522495800
Liverpool,Watford,5:0,5,0,1.17,8.5,16.95,2017-2018,1521307800
Bournemouth,West Brom,2:1,2,1,1.8,3.74,4.76,2017-2018,1521298800
Huddersfield,Crystal Palace,0:2,0,2,2.76,3.16,2.81,2017-2018,1521298800
Stoke,Everton,1:2,1,2,2.76,3.2,2.78,2017-2018,1521298800
Stoke,Manchester City,0:2,0,2,13.51,6.7,1.23,2017-2018,1520884800
Bournemouth,Tottenham,1:4,1,4,7.3,4.97,1.43,2017-2018,1520784000
Arsenal,Watford,3:0,3,0,1.51,4.51,6.78,2017-2018,1520775000
Chelsea,Crystal Palace,2:1,2,1,1.3,5.59,11.73,2017-2018,1520703000
Everton,Brighton,2:0,2,0,2.25,3.23,3.56,2017-2018,1520694000
Huddersfield,Swansea,0:0,0,0,2.49,3.04,3.3,2017-2018,1520694000
Newcastle,Southampton,3:0,3,0,2.67,3.14,2.93,2017-2018,1520694000
West Brom,Leicester,1:4,1,4,3.22,3.34,2.37,2017-2018,1520694000
West Ham,Burnley,0:3,0,3,2.24,3.15,3.71,2017-2018,1520694000
Manchester Utd,Liverpool,2:1,2,1,3.12,3.23,2.49,2017-2018,1520685000
Crystal Palace,Manchester Utd,2:3,2,3,7.75,4.6,1.45,2017-2018,1520280000
Manchester City,Chelsea,1:0,1,0,1.51,4.71,6.38,2017-2018,1520179200
Brighton,Arsenal,2:1,2,1,4.14,3.64,1.93,2017-2018,1520170200
Liverpool,Newcastle,2:0,2,0,1.2,7.38,14.94,2017-2018,1520098200
Leicester,Bournemouth,1:1,1,1,1.89,3.64,4.33,2017-2018,1520089200
Southampton,Stoke,0:0,0,0,1.72,3.69,5.47,2017-2018,1520089200
Swansea,West Ham,4:1,4,1,2.59,3.06,3.1,2017-2018,1520089200
Tottenham,Huddersfield,2:0,2,0,1.16,8.21,19.96,2017-2018,1520089200
Watford,West Brom,1:0,1,0,2.33,3.2,3.42,2017-2018,1520089200
Burnley,Everton,2:1,2,1,2.56,2.95,3.27,2017-2018,1520080200
Arsenal,Manchester City,0:3,0,3,4.65,4.28,1.71,2017-2018,1519933500
Manchester Utd,Chelsea,2:1,2,1,2.38,3.22,3.29,2017-2018,1519567500
Crystal Palace,Tottenham,0:1,0,1,9.29,5.39,1.35,2017-2018,1519560000
Watford,Everton,1:0,1,0,2.39,3.23,3.28,2017-2018,1519493400
Bournemouth,Newcastle,2:2,2,2,2.0,3.53,3.98,2017-2018,1519484400
Brighton,Swansea,4:1,4,1,2.03,3.21,4.36,2017-2018,1519484400
Burnley,Southampton,1:1,1,1,3.29,3.05,2.49,2017-2018,1519484400
Liverpool,West Ham,4:1,4,1,1.22,7.05,13.45,2017-2018,1519484400
West Brom,Huddersfield,1:2,1,2,1.88,3.41,4.78,2017-2018,1519484400
Leicester,Stoke,1:1,1,1,1.69,3.89,5.39,2017-2018,1519475400
Chelsea,West Brom,3:0,3,0,1.33,5.08,10.74,2017-2018,1518465600
Southampton,Liverpool,0:2,0,2,4.92,3.9,1.72,2017-2018,1518366600
Newcastle,Manchester Utd,1:0,1,0,6.13,4.04,1.59,2017-2018,1518358500
Huddersfield,Bournemouth,4:1,4,1,3.11,3.28,2.41,2017-2018,1518350400
